"log_qty_nominal","multi1","multi2","multi3"
1,1.0765301259416,0.622790867616215,0.87288726708838
2,2.15772203391522,1.95532545887994,1.97798445487476
3,3.12397636017303,3.02700014514759,2.90558294442884
4,4.03124408223006,4.08964129092729,3.92939849350446
5,5.08846156668643,5.13245735730568,5.13200083751259
6,5.84200104662584,6.11460972221007,5.96497914740056
7,6.85276185881497,6.98190856785891,7.08765419574842
8,7.7537952020295,8.03602063497159,8.12024510517031
