"varname","p.value"
"sex_birth",0.699274310595027
"age_cat",0.999999999999986
"race",0.160452298965057
"cri",0.666786351746922
"cigarette_ever",0.370334928229655
"sgtf_flag",1
"taste_smell_loss",0.22
