"V1","Coarse Aerosol","Fine Aerosol"
"intercept","2.3 (1.5, 3)","2.8 (2, 3.6)"
"mask_all","-0.84 (-1.7, 0.019)","-1.5 (-2.4, -0.69)"
"mask2","0.09 (-0.99, 1.2)","0.72 (-0.28, 1.7)"
"cough_count","0.13 (0.0018, 0.26)","0.11 (-0.019, 0.24)"
